Show,Organization,Venue,Start,End,Email,Email Source,Address,City,State,Postal,Country,Website,Phone,Facebook,Instagram,Licensor/Source,Source URL,Date Type,Venue Type,First Seen
Daddy Long Legs,Bismark State College,Rogers Black Box Theatre,2026-09-10,2026-09-13,cory.wrolstad@bismarckstate.edu,Production,"1220 Schafer Street, 58501, Bismarck, ND 58501",Bismarck,ND,58501,US,http://bsctheatre.com,+1-701-224-5400,https://www.facebook.com/BSCTheatreSJL/,https://www.instagram.com/bsctheatresjl/,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Bright Star,Cape Fear Regional Theatre,Cape Fear Regional Theatre,2026-09-10,2026-10-04,info@cfrt.org,Production,"Fayetteville, NC",Fayetteville,NC,,US,http://www.cfrt.org,(910) 323-4233,https://www.facebook.com/CapeFearRegionalTheatre,https://www.instagram.com/cfrtnc/,TRW,https://www.theatricalrights.com/show/bright-star/,extended run,,2026-08-18
How To Train Your Dragon The Musical Jr.,Collierville High School,Collierville High - Round Seating,2026-09-10,2026-09-13,dracoplayhouse@colliervilleschools.org,Production,"11605 East Shelby Drive, Collierville, TN 38017",Collierville,TN,38017,US,http://dracoplayhouse.com,(901) 674-9000,https://www.facebook.com/profile.php,http://instagram.com/chs.dracoplayhouse,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Come From Away,Colorado Springs Fac At Colorado College,Colorado Springs Fine Arts Center,2026-09-10,2026-10-04,fac@coloradocollege.edu,Production,"30 West Dale Street, Colorado Springs, CO 80903",Colorado Springs,CO,80903,US,http://www.csfineartscenter.org,(719) 475-2444,https://www.facebook.com/CSFineArtsCenter,https://instagram.com/fineartscenter/,MTI,https://www.mtishows.com/shows,extended run,Professional,2026-08-18
The Picture of Dorian Gray (O'Connor/Holland),Columbia Entertainment Company,Columbia Entertainment Company,2026-09-10,2026-09-20,reservations@cectheatre.org,Production,"1800 Nelwood Drive, Columbia, MO",Columbia,MO,,US,http://cectheatre.org,(573) 474-3699,,http://instagram.com/cectheatre,CONCORD,https://www.concordtheatricals.com/p/59488/the-picture-of-dorian-gray-o-connor-holland,performance run,Amateur,2026-08-18
1776,Footlighters Inc.,Stained Glass Theater,2026-09-10,2026-09-27,footlighterstickets@gmail.com,Production,"802 York St., Newport, KY 41071",Newport,KY,41071,US,http://footlighters.org,(859) 652-3849,https://www.facebook.com/footlightersinc/,https://instagram.com/footlightersinc/,MTI,https://www.mtishows.com/shows,extended run,Non-Professional,2026-08-18
Dear Evan Hansen,Harborside Productions,John W. Engeman Theater,2026-09-10,2026-10-25,contact@engemantheater.com,Production,"250 Main Street, Northport, NY 11768",Northport,NY,11768,US,http://www.engemantheater.com/,(631) 261-2900,https://www.facebook.com/engemantheater/,https://www.instagram.com/engemantheater/,MTI,https://www.mtishows.com/shows,extended run,Professional,2026-08-18
Seven Brides For Seven Brothers,Lynden Performing Arts Guild / The Clare Theatre,Claire Vg Thomas Theatre,2026-09-10,2026-09-27,admin@theclaire.org,Production,"655 Front Street, Suite 13, Lynden, WA 98264",Lynden,WA,98264,US,http://theclaire.org,3603544425,http://facebook.com/theclairetheatre,https://www.instagram.com/theclairetheatre/,MTI,https://www.mtishows.com/shows,extended run,Non-Professional,2026-08-18
Disney's Newsies Jr.,Madison Middle School,Mc Auditorium,2026-09-10,2026-09-12,webmanager@madison-schools.com,Production,"1417 Highland Colony Parkway, Madison, MS 39110",Madison,MS,39110,US,http://madison-schools.com,(601) 499-0800,https://www.facebook.com,,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Into The Woods,Maryland Ensemble Theatre,Maryland Ensemble Theatre,2026-09-10,2026-10-04,contact@marylandensemble.org,Production,"31 W. Patrick St., Frederick, MD 21701",Frederick,MD,21701,US,http://www.marylandensemble.org/,(301) 694-4744,https://www.facebook.com/MarylandEnsemble,https://www.instagram.com/marylandensemble/,MTI,https://www.mtishows.com/shows,extended run,Non-Professional,2026-08-18
Children Of Eden,Masters Academy,The Master's Academy,2026-09-10,2026-09-12,shannonstinson@mastersacademy.org,Production,"1500 Lukas Lane, Oviedo, FL 32765",Oviedo,FL,32765,US,http://www.mastersacademy.org,(407) 971-2221,https://www.facebook.com/tmaoviedo/,https://www.instagram.com/tmaoviedo/,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Dear Evan Hansen,Mid City Civic Theatre,Baton Rouge Little Theatre Inc,2026-09-10,2026-09-20,info@midcitycivic.org,Production,"7155 Florida Blvd, Baton Rouge, LA 70806",Baton Rouge,LA,70806,US,http://www.midcitycivic.org,,https://www.facebook.com/profile.php,http://instagram.com/midcitycivic,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Seussical Jr.,Nyos Charter School,Auditorium at Nyos Charter School,2026-09-10,2026-09-12,nurse@nyos.org,Production,"12301 North Lamar Blvd, Austin, TX 78753",Austin,TX,78753,US,http://nyos.org,(512) 583-6967,https://www.facebook.com/nyoscharter,https://www.instagram.com/nyoscharter/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Fame Jr,Players Of Utica,Players Of Utica,2026-09-10,2026-09-20,playersofutica@outlook.com,Production,"1108 State Street, Utica, NY 13502",Utica,NY,13502,US,http://www.playersofutica.org,3157247624,http://www.facebook.com/PlayersOfUtica,http://www.instagram.com/playersofuticany,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Athena,PNC Arts Annex,PNC Arts Annex,2026-09-10,2026-09-10,jewishdayton@gmail.com,Production,"46 W. 2nd St., Dayton, OH",Dayton,OH,,US,http://jewishdayton.org,(937) 610-1555,https://www.facebook.com/jewishdayton525,https://www.instagram.com/jewishdayton/,CONCORD,https://www.concordtheatricals.com/p/64299/athena,performance run,Amateur,2026-08-18
Agatha Christie's Murder on the Orient Express,Putnam County Playhouse-Hazel Day Longden Theatre,Putnam County Playhouse-Hazel Day Longden Theatre,2026-09-10,2026-09-19,bsandy929@gmail.com,Production,"715 Co Rd 100 E, Greencastle, IN",Greencastle,IN,,US,,(765) 653-5880,https://www.facebook.com/putnamcountyplayhouse,https://www.instagram.com/pcphtheater/,CONCORD,https://www.concordtheatricals.com/p/64584/agatha-christie-s-murder-on-the-orient-express,performance run,Amateur,2026-08-18
Reefer Madness,Riverwalk Theatre,Riverwalk Theatre,2026-09-10,2026-09-20,rwt@riverwalktheatre.com,Production,"228 Museum Drive, Lansing, MI",Lansing,MI,,US,http://riverwalktheatre.com,(517) 482-5700,https://www.facebook.com/riverwalktheatre,https://www.instagram.com/riverwalk_theatre/,CONCORD,https://www.concordtheatricals.com/p/44882/reefer-madness,performance run,Amateur,2026-08-18
Come From Away,Shreveport Little Theatre,Shreveport Little Theatre,2026-09-10,2026-09-20,boxoffice@shreveportlittletheatre.com,Production,"812 Margaret Place, Shreveport, LA 71101",Shreveport,LA,71101,US,http://www.shreveportlittletheatre.com,3184244439,https://www.facebook.com/SLTheatre/,https://www.instagram.com/shreveportlittletheatre/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Come From Away,Stowe Theatre Guild,Stowe Theatre Guild,2026-09-10,2026-09-27,info@stowetheatre.com,Production,"Po Box 1381, Stowe, VT 05672",Stowe,VT,5672,US,http://www.stowetheatre.com,(802) 253-3961,https://www.facebook.com/StoweTheatre/,https://www.instagram.com/stowetheatreguild/,MTI,https://www.mtishows.com/shows,extended run,Non-Professional,2026-08-18
The Wizard of Oz: Youth Edition,Strauss Youth Academy For The Arts,STRAUSS YOUTH ACADEMY FOR THE ARTS,2026-09-10,2026-09-20,boxoffice@syaaonline.com,Production,"1300 1/2 Lamy Lane, Monroe, LA",Monroe,LA,,US,http://www.syaaonline.com,3188127922,,http://instagram.com/syaaonline,CONCORD,https://www.concordtheatricals.com/p/65770/the-wizard-of-oz-youth-edition,performance run,Amateur,2026-08-18
Sister Act,"The Barn Theatre, Inc",Barn Theatre,2026-09-10,2026-09-27,barnth@barn-theatre.com,Production,"2400 Se Ocean Blvd, Stuart, FL 34996",Stuart,FL,34996,US,http://www.barn-theatre.com,(772) 287-4884,https://www.facebook.com/thebarntheatrestuart,https://www.instagram.com/barntheatre/,MTI,https://www.mtishows.com/shows,extended run,Non-Professional,2026-08-18
The Fantasticks,Theatre In The Circle,Theatre In The Circle @ Judson Mano,2026-09-10,2026-09-13,theatreinthecircle@gmail.com,Production,"1890 E 107th St Apt 520, Cleveland, OH 44106-2250",Cleveland,OH,44106-2250,US,http://theatreinthecircle.org,(440) 247-1359,,,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
I'm Gonna Marry You Tobey Maguire,Theatre On The Ridge,Theatre on the Ridge,2026-09-10,2026-09-27,theatreridge@gmail.com,Production,"3735 Neal Road, Paradise, CA",Paradise,CA,,US,http://www.totr.org,(530) 877-5760,https://www.facebook.com/TheatreOnTheRidge/,https://www.instagram.com/theatreontheridge/,CONCORD,https://www.concordtheatricals.com/p/96666/i-m-gonna-marry-you-tobey-maguire,extended run,Amateur,2026-08-18
Spring Awakening,Theatre Three,Norma Young Arena Stage,2026-09-10,2026-09-27,boxofficeagent@t3dallas.org,Production,"2800 Routh St Ste 168, Dallas, TX 75201-1417",Dallas,TX,75201-1417,US,http://theatre3dallas.com,(214) 871-3300,https://www.facebook.com/theatre3dallas/,https://www.instagram.com/theatrethree/,MTI,https://www.mtishows.com/shows,extended run,Professional,2026-08-18
Sweeney Todd,Theatreworks/colorado,Dusty Loo Bon Vivant Theater,2026-09-10,2026-10-04,tickets@uccs.edu,Production,"5225 North Nevada, 5225 North Nevada, Colorado Springs, CO 80918",Colorado Springs,CO,80918,US,https://entcenterforthearts.org/theatreworks,(719) 255-3232,https://www.facebook.com/EntCenterArts/,https://www.instagram.com/entcenterarts/,MTI,https://www.mtishows.com/shows,extended run,Professional,2026-08-18
Steel Magnolias,"Vero Beach Theatre Guild,inc.",Vero Beach Theatre Guild,2026-09-10,2026-09-27,boxoffice@verobeachtheatreguild.com,Production,"2020 San Juan Ave, Vero Beach, FL",Vero Beach,FL,,US,http://www.verobeachtheatreguild.com,7725628300,https://www.facebook.com/verobeachtheatreguild,https://www.instagram.com/vero_beach_theatre_guild/,CONCORD,https://www.concordtheatricals.com/p/10643/steel-magnolias,extended run,Amateur,2026-08-18
SIX: TEEN EDITION,West Valley Performing Arts Center,West Valley Performing Arts Center,2026-09-10,2026-09-12,boxoffice@wvcarts.org,Production,"3333 Decker Lake Drive, West Valley City, UT",West Valley City,UT,,US,http://wvcarts.org,(801) 965-5140,http://www.facebook.com/wvcarts,https://instagram.com/wvcarts,CONCORD,https://www.concordtheatricals.com/p/93929/six-teen-edition,performance run,Amateur,2026-08-18
Sunday In The Park With George,"Abbey Players, Inc",Abbey Players,2026-09-11,2026-09-20,abbeyplayers@gmail.com,Production,"200 State St, Abbeville, LA",Abbeville,LA,,US,http://www.abbeyplayers.com,(337) 893-2442,https://www.facebook.com/abbeyplayerstheatre,https://www.instagram.com/wix,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Junie B. Jones Jr.,Alban Arts And Conference Center,Alban Arts And Conference Center,2026-09-11,2026-09-20,info@albanartscenter.com,Production,"65 Olde Main, Saint Albans, WV 25177",Saint Albans,WV,25177,US,http://www.albanartscenter.com,304-721-8896,https://www.facebook.com/AlbanArtsCenter/,,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Play On!,Anderson's Mainstage Theatre,Anderson's Mainstage Theatre,2026-09-11,2026-09-20,info@mainstagetheatre.org,Production,"124 W. 9th Street, Anderson, IN",Anderson,IN,,US,https://mainstagetheatre.org/,(765) 644-5111,http://www.facebook.com/AndersonMainstageTheatre/,https://www.instagram.com/anderson_mainstage_theatre/,CONCORD,https://www.concordtheatricals.com/p/1633/play-on,performance run,Amateur,2026-08-18
Disney's Finding Nemo Jr.,Artistic Civic Theatre,Artistic Civic Theatre,2026-09-11,2026-09-20,actdalton@gmail.com,Production,"905 Gaston Street, Dalton, GA 30720",Dalton,GA,30720,US,http://www.artisticcivictheatre.com,(706) 278-4796,https://www.facebook.com/ACTDalton,https://www.instagram.com/actdalton/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Come From Away,Avon Players,Avon Players Theater,2026-09-11,2026-09-26,boxoffice@avonplayers.org,Production,"1185 Washington Rd, Rochester Hills, MI 48306",Rochester Hills,MI,48306,US,http://www.avonplayers.org,(248) 608-9077,https://www.facebook.com/AvonPlayersTheatre/,https://www.instagram.com/avon.players/,MTI,https://www.mtishows.com/shows,extended run,Non-Professional,2026-08-18
Rent,Bay Street Players,State Theatre,2026-09-11,2026-09-27,info@baystreetplayers.org,Production,"109 N Bay Street, Eustis, FL 32726",Eustis,FL,32726,US,http://www.eustisstatetheatre.org,(352) 357-7777,,,MTI,https://www.mtishows.com/shows,extended run,Non-Professional,2026-08-18
La Gringa (Spanish),Billie Limacher Bicentennial Park,Billie Limacher Bicentennial Park,2026-09-11,2026-09-13,jolietdramaguild@gmail.com,Production,"201 w Jefferson, Joliet, IL",Joliet,IL,,US,http://www.thejolietdramaguild.com,(815) 690-8051,https://www.facebook.com/TheJolietDramaGuild/,https://www.instagram.com/jolietdramaguild/,CONCORD,https://www.concordtheatricals.com/p/9178/la-gringa-spanish,performance run,Amateur,2026-08-18
The Guys,Billingsley Theatre,Billingsley Theatre,2026-09-11,2026-09-11,amy.dunlap@ngu.edu,Production,"7801 N. Tigerville Rd, Tigerville, SC",Tigerville,SC,,US,http://ngu.edu/theatre,(864) 977-7000,https://www.facebook.com/NorthGreenvilleUniv,https://www.instagram.com/northgreenvilleuniversity/,CONCORD,https://www.concordtheatricals.com/p/99710/the-guys,performance run,Amateur,2026-08-18
Alice By Heart,Biloxi Little Theatre,Biloxi Little Theatre,2026-09-11,2026-09-20,bltheatremedia@gmail.com,Production,"220 Lee Street, Biloxi, MS 39530",Biloxi,MS,39530,US,http://www.4blt.org,(228) 432-8543,https://www.facebook.com/BiloxiLittleTheatre,https://www.instagram.com/biloxitheatre/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
1776,Camden Light Opera,Camden Opera House,2026-09-11,2026-09-12,kbrown@camdenmaine.gov,Production,"29 Elm St, Camden, ME 04843",Camden,ME,4843,US,https://www.camdenoperahouse.com/,(207) 236-7963,https://www.facebook.com/camdenoperahouse/,https://www.instagram.com/camdenoperahouse/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
The Guys,Capitol Theatre,Capitol Theatre,2026-09-11,2026-09-13,greenevilletheatreguild@gmail.com,Production,"104 S. Main St., Greeneville, TN",Greeneville,TN,,US,http://www.greenevilletheatreguild.org,(423) 470-2792,https://www.facebook.com/GreenevilleTheatreGuild,,CONCORD,https://www.concordtheatricals.com/p/99710/the-guys,performance run,Amateur,2026-08-18
Nine (Shepard),Center for Performing Arts,Center for Performing Arts,2026-09-11,2026-09-13,boxoffice@centerforperformingarts.org,Production,"661 Route 308, Rhinebeck, NY",Rhinebeck,NY,,US,http://www.centerforperformingarts.org,18458763080,http://www.facebook.com/CENTER12572,http://www.instagram.com/rbkcenter,CONCORD,https://www.concordtheatricals.com/p/3268/nine-shepard,performance run,Amateur,2026-08-18
Disney's Descendants,Childrens Performing Arts Of Miamisburg,Riverfront Park,2026-09-11,2026-09-13,info@cpamburg.com,Production,"3 North Miami Avenue, Miamisburg, OH 45342",Miamisburg,OH,45342,US,http://www.cpamburg.com,(937) 388-4814,https://www.facebook.com/cpamburg,https://www.instagram.com/cpamburg/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Plaza Suite,Coastal Repertory Theatre,Coastal Repertory Theatre,2026-09-11,2026-09-27,info@coastalrep.com,Production,"1167 Main Street, Half Moon Bay, CA",Half Moon Bay,CA,,US,http://www.coastalrep.com,(650) 204-5046,https://www.facebook.com/coastalrep,http://www.instagram.com/coastal_rep,CONCORD,https://www.concordtheatricals.com/p/2798/plaza-suite,extended run,Amateur,2026-08-18
macbitches,Dayton Playhouse inc,Dayton Playhouse,2026-09-11,2026-09-11,dawns1210@gmail.com,Production,"Dayton, OH",Dayton,OH,,US,http://www.daytonplayhouse.org,(937) 424-8477,https://www.facebook.com/DaytonPlayhouse,,TRW,https://www.theatricalrights.com/show/macbitches/,performance run,,2026-08-18
Come From Away,Emerald Coast Theatre Company,Ectc Mainstage 12,2026-09-11,2026-10-04,boxoffice@emeraldcoasttheatre.org,Production,"560 Grand Boulevard, Suite 200, Miramar Beach, FL 32550",Miramar Beach,FL,32550,US,http://emeraldcoasttheatre.org,(850) 684-0323,https://www.facebook.com/ECTheatreCompany/,https://www.instagram.com/ectheatreco/,MTI,https://www.mtishows.com/shows,extended run,Non-Professional,2026-08-18
Little Shop Of Horrors,Encore Theatre Company,Encore Theatre Company,2026-09-11,2026-09-26,encoretulare@gmail.com,Production,"324 South N Street, Tulare, CA 93274",Tulare,CA,93274,US,http://www.encoretulare.org,(559) 686-1300,https://www.facebook.com/encoretheatretulare/,https://www.instagram.com/encoretulare/,MTI,https://www.mtishows.com/shows,extended run,Non-Professional,2026-08-18
Come From Away,Florence Little Theatre,Florence Little Theatre,2026-09-11,2026-09-20,jessica.coleman@florencelittletheatre.org,Production,"417 S Dargan Street, Florence, SC 29506",Florence,SC,29506,US,http://www.florencelittletheatre.org,,https://facebook.com/,http://instagram.com/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
A Man Of No Importance (one Act Version),Grandstreet Theatre,Grandstreet Theatre,2026-09-11,2026-09-12,tickets@grandstreettheatre.com,Production,"325 North Park Ave, Helena, MT 59601",Helena,MT,59601,US,http://www.grandstreettheatre.com,(406) 447-1574,https://www.facebook.com/GSTheatreMT/,https://www.instagram.com/gstheatre/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
